Desembolso,Vencimiento,Saldo$,FechaReporte,PE_30.04.2024,PD_MAX_2024_04_30,LGD_MAX_2024_04_30,PlazoRestante(Dias),Reserva Especifica$,Ab_24,Tasa_Propuesta,bps%,IntAnual_TasaPropuesta,Tasa_Costo_Oportunidad,FTP,TIR,Código Moneda,Status Mora,SegmentoComercial,Nuevo,Brecha_encoded,Saldo$_capp,PE_30.04.2024_capp,PD_MAX_2024_04_30_capp,PlazoRestante(Dias)_capp,Reserva Especifica$_capp,Ab_24_capp,Tasa_Propuesta_capp,IntAnual_TasaPropuesta_capp,FTP_capp,TIR_capp,Saldo$_capp_cuad,PE_30.04.2024_capp_cuad,PlazoRestante(Dias)_capp_cuad,Reserva Especifica$_capp_cuad,Tasa_Propuesta_capp_cuad,IntAnual_TasaPropuesta_capp_cuad,FTP_capp_cuad,FTP_capp_log,FTP_capp_inv,FTP_capp_BC,FTP_capp_YJ,TIR_capp_cuad,TIR_capp_cuad_minMaxScaled,Saldo$_capp_cuad_minMaxScaled,FTP_capp_cuad_minMaxScaled,Tasa_Propuesta_capp_cuad_minMaxScaled,Reserva Especifica$_capp_cuad_minMaxScaled,PE_30.04.2024_capp_cuad_minMaxScaled,PlazoRestante(Dias)_capp_cuad_minMaxScaled
2023-05-18,2026-05-31,328.1342079,2024-04-30,0.0,0.008578982,0.009,761,0.0,0.11,0.11,0.0,36.09476287,0.065,0.076406149,0.186566287,2667,2781,3,2777,1,328.1342079,0.0,0.008578982,761.0,0.0,0.11,0.11,36.09476287,0.076406149,0.16260682262499998,107672.05839416041,0.0,579121.0,0.0,0.0121,1302.8319066415304,0.005837899605010202,-2.5716921017551555,13.087951861047204,-429.8492314341119,-429.8492314341119,0.026440978764198205,0.42045711631803395,6.312749769140201e-05,0.8428575106386234,0.44442960549159966,0.0,0.0,0.08802776171197224
2023-05-02,2026-05-31,328.1342079,2024-04-30,0.0,0.008578982,0.009,761,0.0,0.11,0.11,0.0,36.09476287,0.065,0.076406149,0.186566287,2667,2781,3,2777,1,328.1342079,0.0,0.008578982,761.0,0.0,0.11,0.11,36.09476287,0.076406149,0.16260682262499998,107672.05839416041,0.0,579121.0,0.0,0.0121,1302.8319066415304,0.005837899605010202,-2.5716921017551555,13.087951861047204,-429.8492314341119,-429.8492314341119,0.026440978764198205,0.42045711631803395,6.312749769140201e-05,0.8428575106386234,0.44442960549159966,0.0,0.0,0.08802776171197224
2023-08-17,2026-08-31,325.8503156,2024-04-30,0.0,0.008578982,0.009,853,0.0,0.16,0.16,0.0,52.1360505,0.065,0.076560569,0.210087597,2667,2781,3,2777,1,325.8503156,0.0,0.008578982,853.0,0.0,0.16,0.16,52.1360505,0.076560569,0.16260682262499998,106178.42817661959,0.0,727609.0,0.0,0.0256,2718.167761738551,0.0058615207256037605,-2.5696730997856414,13.061553918179476,-427.4657418708068,-427.4657418708068,0.026440978764198205,0.4734661692056145,6.268811526060223e-05,0.844691230226316,0.658110526456369,0.0,0.0,0.09866975130133025
2021-01-27,2025-01-31,325.6959116,2024-04-30,0.019127798,0.006527616,0.009,276,11.07333932,0.13,0.13,0.0,42.34046851,0.065,0.075592083,0.137070352,2667,2781,3,2777,0,325.6959116,0.019127798,0.008578982,276.0,11.07333932,0.13,0.13,42.34046851,0.075592083,0.137070352,106077.826832955,0.00036587265632880407,76176.0,122.61884369585808,0.016900000000000002,1792.7152736463017,0.005714163012278889,-2.5824037235026265,13.228898587170828,-442.7184958286237,-442.7184958286237,0.018788281397403905,0.30891007084585365,6.265841053028496e-05,0.8331905713181033,0.5299019738775074,5.570585868463208e-05,1.9048171841562962e-07,0.031925968768074034
2022-08-09,2025-08-31,323.8366303,2024-04-30,0.0,0.008578982,0.009,488,0.0,0.16,0.16,0.0,51.81386085,0.065,0.075947922,0.149863642,2667,2781,3,2777,1,323.8366303,0.0,0.008578982,488.0,0.0,0.16,0.16,51.81386085,0.075947922,0.149863642,104870.16312405889,0.0,238144.0,0.0,0.0256,2684.6761761831626,0.005768086856118084,-2.577707410419982,13.16691719360011,-437.0294803722367,-437.0294803722367,0.02245911119350416,0.33774180624733235,6.23007161078577e-05,0.8374161181667304,0.658110526456369,0.0,0.0,0.05644881434355119
2023-04-25,2026-04-30,323.5973041,2024-04-30,0.0,0.008578982,0.009,730,0.0,0.16,0.16,0.0,51.77556866,0.065,0.076354116,0.211107534,2667,2781,3,2777,1,323.5973041,0.0,0.008578982,730.0,0.0,0.16,0.16,51.77556866,0.076354116,0.16260682262499998,104715.21522078785,0.0,532900.0,0.0,0.0256,2680.709510066374,0.005829951030141456,-2.5723733391438484,13.096870900843118,-430.65644405498426,-430.65644405498426,0.026440978764198205,0.4757647611792334,6.225467377586591e-05,0.8422396247993121,0.658110526456369,0.0,0.0,0.08444187391555813
2023-04-25,2026-04-30,323.5973041,2024-04-30,0.0,0.008578982,0.009,730,0.0,0.16,0.16,0.0,51.77556866,0.065,0.076354116,0.211107534,2667,2781,3,2777,1,323.5973041,0.0,0.008578982,730.0,0.0,0.16,0.16,51.77556866,0.076354116,0.16260682262499998,104715.21522078785,0.0,532900.0,0.0,0.0256,2680.709510066374,0.005829951030141456,-2.5723733391438484,13.096870900843118,-430.65644405498426,-430.65644405498426,0.026440978764198205,0.4757647611792334,6.225467377586591e-05,0.8422396247993121,0.658110526456369,0.0,0.0,0.08444187391555813
2021-10-13,2024-10-31,322.1767874,2024-04-30,0.013992334,0.004808904,0.009,184,11.43232859,0.16,0.16,0.0,51.54828599,0.065,0.075437662,0.150399789,2667,2781,3,2777,0,322.1767874,0.013992334,0.008578982,184.0,11.43232859,0.16,0.16,51.54828599,0.075437662,0.150399789,103797.88233938481,0.000195785410767556,33856.0,130.69813698973138,0.0256,2657.2257885068298,0.005690840848026245,-2.584448632653619,13.255978161147146,-445.21872412637015,-445.21872412637015,0.022620096531244523,0.33895009969180967,6.198139027618527e-05,0.8313568398555266,0.658110526456369,5.7511800412417876e-05,1.393408600909232e-07,0.02128397917871602
2021-09-28,2024-09-30,321.6749745,2024-04-30,0.012555678,0.004320381,0.009,153,11.81190506,0.13,0.13,0.0,41.81774668,0.065,0.075385629,0.0,2667,2781,3,2777,0,321.6749745,0.012555678,0.008578982,153.0,11.81190506,0.13,0.13,41.81774668,0.075385629,0.0,103474.78921957566,0.00015764505003968402,23409.0,139.52110114645362,0.016900000000000002,1748.723937392651,0.00568299305972564,-2.5851386189510843,13.265127760623978,-446.0655220118744,-446.0655220118744,0.0,0.0,6.188484992189243e-05,0.8307389540162153,0.5299019738775074,5.942130869955592e-05,1.2503410592862365e-07,0.017698091382301908
2022-10-07,2025-10-31,321.6724011,2024-04-30,0.0,0.008578982,0.009,549,0.0,0.13,0.13,0.0,41.81741214,0.065,0.07605031,0.198581464,2667,2781,3,2777,1,321.6724011,0.0,0.008578982,549.0,0.0,0.13,0.13,41.81741214,0.07605031,0.16260682262499998,103473.13362943928,0.0,301401.0,0.0,0.016900000000000002,1748.6959580866196,0.005783649651096099,-2.5763601840195283,13.14919031888233,-435.4110026009289,-435.4110026009289,0.026440978764198205,0.4475352490005522,6.188435484305382e-05,0.838631963789996,0.5299019738775074,0.0,0.0,0.06350491613649509
